F010029;F010030;F041699;F041799;F041803;F041899;F050799;F051699;F050899;F051799;F080099;F090024;F090036;F090099
42102;42102;112711;450362;0;0;2;1;105868;20300;652420;112711;126168;542995
41001;41001;273757;250754;0;0;120;3;4922400;274200;27213958;273757;5196600;22142843
41002;41002;71398;508293;0;0;3;1;146160;27091;4339518;71398;173251;4193629
42102;42909;2380050;12992522;2380569;2380569;143;42;11021026;2544944;217455069;2380050;13565970;214080241
43121;43121;20313;85201;0;0;28;4;485618;67250;320310;20313;552868;675466
42206;43909;156152;6055304;0;24000;34;4;954847;148356;4668129;156152;1103203;3633656
42103;42103;273120;1846111;53864;53864;7;2;222000;72000;4349231;273120;294000;4131769
43309;43309;132175;4108301;0;0;114;9;4769456;463188;11696133;132175;5232644;11410128
42201;42201;2240630;1941423;278669;278669;400;43;20632736;2813555;125819772;2240630;23446291;127372269
43309;43309;168022;1814416;0;0;7;3;386280;81768;3236099;168022;468048;2951129
41001;41001;98055;591240;0;0;16;5;701481;288674;36023652;98055;990155;35773189
41002;41002;374197;4128456;0;0;89;8;2649555;304938;9377922;374197;2954493;11008653
43226;43226;275034;3270495;65200;875568;63;5;1970843;367891;22847735;275034;2338734;20919905
41002;41001;3366253;4341202;0;0;89;37;3440569;1772415;124509530;3366253;5212984;115132814
42909;42909;92650;520618;16849;16849;18;4;634776;133392;7214115;92650;768168;7146587
41001;41001;105437;464419;0;12000;12;6;962570;384700;12064517;105437;1347270;14567167
41002;41001;185900;2189365;0;0;35;5;1562100;244452;37075826;185900;1806552;36573431
42904;41001;13077;204863;39600;56400;4;2;95199;93444;1479771;13077;188643;1285898
43211;43211;35315;381360;0;0;9;3;340800;81600;2903396;35315;422400;1567493
43292;43299;37320;411520;14400;55983;6;2;141600;58848;3661532;37320;200448;3112303
41002;41002;1596;55456;0;0;27;2;882760;63912;7927541;1596;946672;9894941
42909;43219;285655;1017154;0;0;144;3;4009510;108936;42111500;285655;4118446;39279276
41001;42909;144495;1599620;0;0;4;1;236460;30660;387000;144495;267120;3276000
41001;41001;26089;620714;0;509855;17;3;605946;141792;6429212;26089;747738;6102550
42206;41001;4666;56415;0;0;4;0;49995;0;270976;4666;49995;333300
41001;41001;109240;801097;580000;580000;19;13;2362026;674400;12152769;109240;3036426;10130216
41001;41001;1891351;18458896;30000;30000;135;22;3847344;1459320;98544145;1891351;5306664;94527776
41001;41001;154796;1312731;0;0;50;6;1382064;97488;16298122;154796;1479552;14473487
41002;42909;281879;9430149;0;0;79;12;4300355;688017;18855209;281879;4988372;18770276
42103;42103;21000;108840;0;14000;7;7;268000;312000;5805900;21000;580000;5355312
42909;42206;245986;3614915;0;17100;8;7;428616;287112;10802650;245986;715728;10041338
42207;42207;322626;9312704;0;0;6;2;191490;39520;2180752;322626;231010;1752907
42909;42909;559944;5238711;0;0;66;6;2879711;319967;41804952;559944;3199678;39820844
41001;41001;17135;92726;0;0;288;6;9495781;174492;20504014;17135;9670273;24189072
42101;42101;303899;2163533;0;0;7;3;262272;102000;8547366;303899;364272;8013242
43211;43211;35468;762192;74820;74820;13;3;488964;142668;2899778;35468;631632;2609234
41002;41001;42824;1197271;0;0;52;4;2183660;113760;9597660;42824;2297420;8832904
42102;42102;0;1247174;120000;120000;80;22;3279949;735748;122204834;0;4015697;119161148
42203;43909;18150;39852;104625;104625;14;2;531794;77340;2269337;18150;609134;2407359
41001;41001;235464;2683170;0;66786;14;6;586368;294600;3068387;235464;880968;5262846
42903;41002;54110;330895;0;0;9;3;323580;110352;3642490;54110;433932;2726137
41002;42102;116606;1812400;0;0;39;4;1431190;156300;17828729;116606;1587490;16012296
41002;41002;264178;2188020;0;0;54;6;2168365;119088;34363811;264178;2287453;32058912
41001;42909;275603;2151941;78604;78604;115;13;2670116;296680;22857586;275603;2966796;20274700
42909;43211;10791;433875;0;0;12;1;434893;30612;13859592;10791;465505;13613122
41002;43309;35649;320840;96000;156000;18;3;737269;207947;12180701;35649;945216;11815280
41002;43309;994732;5257860;1272787;1272787;306;15;12112892;1148468;114645897;994732;13261360;114539887
43211;43211;1274924;12978252;0;363618;7;3;554808;127656;117236894;1274924;682464;93789515
43224;43224;118059;1978889;0;36000;9;3;326713;164480;1002015;118059;491193;1181250
43221;43221;180000;3258000;0;0;292;8;7002600;306600;19000000;180000;7309200;19237424
41001;41002;435210;3220810;0;0;152;8;5870772;337620;23118625;435210;6208392;22240072
43294;43294;5413;73143;0;4269;11;1;182708;13372;1749373;5413;196080;1635311
41002;41002;317142;4851114;0;1465221;201;13;5391152;441853;51187537;317142;5833005;46001079
43309;41001;2400;9595;14400;14400;5;1;99061;0;423339;2400;99061;330204
41001;41001;130364;1173268;0;3697;15;12;499008;447852;22809275;130364;946860;23269662
42201;42201;17201;78359;30000;30000;4;2;154224;63648;1891184;17201;217872;1864497
43291;43291;10134;140025;0;0;10;1;395400;25800;1175305;10134;421200;1179837
42909;42205;370002;1916505;0;0;24;4;674442;127100;2672428;370002;801542;2343292
42209;41001;69224;357496;0;19743;1;1;0;24950;6724500;69224;24950;5092434
42206;42206;20865;3590898;0;36713;21;3;473215;103877;25656000;20865;577092;24570015
41002;41001;982064;10282519;482344;482344;61;10;2443697;521449;21975593;982064;2965146;19997790
43211;43211;36700;330296;14400;14400;6;2;198964;37898;1233658;36700;236862;1184312
41002;43211;58902;206262;0;60000;203;4;6136889;148620;24525145;58902;6285509;24081485
41002;41001;235275;4567659;72700;72700;16;1;446416;39000;2988038;235275;485416;6827623
42904;42904;41000;31781;14400;15057;5;3;91080;60720;988546;41000;151800;1252454
41002;41001;232401;1350890;0;66283;142;11;4443259;349470;21641166;232401;4792729;17096521
43901;43301;30288;474511;27600;27600;257;8;5245596;199200;34029973;30288;5444796;29775480
42207;42909;982111;5397471;0;2526721;33;4;1084800;159374;16476227;982111;1244174;16282480
43309;43306;117016;816523;45600;45600;69;8;1554359;213421;3968385;117016;1767780;3866248
41001;41001;249800;288167;0;24470;13;7;686882;562400;21164790;249800;1249282;19349294
41002;42109;612363;11812851;0;0;54;10;1989642;221072;18729295;612363;2210714;20428398
41002;41002;405363;404651;578400;578400;482;24;10511717;1039621;140235980;405363;11551338;132285583
42909;43211;238982;3805832;0;55970;37;5;2494621;243012;17862276;238982;2737633;17207211
42209;42102;10628;72000;0;0;4;0;43101;0;281430;10628;43101;275547
43309;43309;344677;3514924;0;0;60;11;1495956;446844;15429883;344677;1942800;14361535
41002;42909;673083;23566548;0;50937;133;16;6628673;623433;19645350;673083;7252106;19599773
41002;43909;1985026;10214070;2733147;2733147;87;11;2299869;290640;22617468;1985026;2590509;21069615
43211;43211;205677;2536073;18000;18000;105;7;2502362;197232;8480877;205677;2699594;8377600
41002;41002;315488;1779767;0;52950;156;10;6516596;600314;46591037;315488;7116910;44791016
43225;43225;30719;276470;34168;45557;40;5;1600800;188400;25996287;30719;1789200;20081734
41002;41002;117761;750482;0;0;164;10;5136888;399933;60094135;117761;5536821;59990394
43219;43219;336;2433;0;0;1;0;0;0;66781;336;0;37563
41002;42909;171319;3744888;0;162013;384;16;19005000;1024752;153955470;171319;20029752;149336805
41002;41002;223475;5079774;0;183421;13;2;579506;61800;12816414;223475;641306;14048669
42102;42102;19872;149507;0;0;10;1;151056;14400;665297;19872;165456;569884
42102;42102;80299;300222;20000;20000;5;0;99408;0;598632;80299;99408;555471
43302;43302;10206;106873;48000;48000;17;3;370562;115200;1369351;10206;485762;1315537
42909;41002;817117;11040623;0;233099;137;12;5270824;741600;61201210;817117;6012424;60123314
43224;43224;902984;18750753;0;0;128;17;4432080;913860;21402440;902984;5345940;15082817
41002;43211;72530;308623;65000;65000;11;5;488400;240000;2625747;72530;728400;2520717
41001;42202;223432;14997578;63724;63724;196;19;2164664;240518;18958572;223432;2405182;32857907
43901;43902;122406;46371;32990;78190;15;2;422371;58800;3344042;122406;481171;3259112
43291;43291;296895;6322496;0;50045;91;16;2446793;431787;13881957;296895;2878580;12889945
43909;43225;406123;8868946;0;108240;28;5;1801515;202833;9636450;406123;2004348;11025419
42205;42205;195601;4401931;0;1163105;81;4;2364325;119135;19941707;195601;2483460;19435424
42209;43224;7049;548059;0;0;6;1;104542;26136;566597;7049;130678;518534
41002;42209;1020731;4765449;0;25438;18;9;861162;287054;8656506;1020731;1148216;6561219
43309;43909;80307;621065;0;0;14;1;368080;26923;3622358;80307;395003;3418712
42209;43229;62627;695862;42000;42000;15;8;468960;393240;2659632;62627;862200;2677528
41001;41002;363872;946827;94851;167533;25;3;2265475;159732;15740720;363872;2425207;15484272
42909;41001;24175;158770;18000;18000;19;1;387900;25284;5940000;24175;413184;5237081
41002;41002;582021;19456750;0;165997;426;6;10584496;215806;51514114;582021;10800302;42816239
43301;43301;143000;1287005;0;0;2;0;45000;0;301523;143000;45000;203389
43306;43306;135953;53133;29680;31430;14;1;323001;19984;1124221;135953;342985;1866633
43903;42909;44045;287057;63250;63250;7;2;255048;79344;4326501;44045;334392;3240112
43219;43212;4464;28954;0;0;18;5;611748;224460;6353215;4464;836208;5408948
41009;41001;1429434;7817678;0;118000;25;5;996623;139777;44934866;1429434;1136400;43275714
42109;42109;349021;2161080;60000;60000;31;9;1553403;239868;19486616;349021;1793271;17886072
43902;42209;28222;67266;38400;53400;11;4;389823;129941;2635833;28222;519764;2349740
42102;42102;803692;5893743;53600;53600;287;13;10191333;421200;40255566;803692;10612533;40130658
43309;43309;34575;123184;0;0;16;2;614280;64501;6251855;34575;678781;4662201
43909;43909;106882;961936;126000;126000;59;4;1837833;312000;6018845;106882;2149833;5717903
43211;43211;112190;551271;0;0;3;0;366178;0;6168137;112190;366178;5609520
43211;43211;2935;8804;27600;27600;62;3;2010905;133736;10301868;2935;2144641;9835290
43122;43122;19465;290304;22500;361545;10;1;458916;127000;3279684;19465;585916;3022787
43224;43224;602576;2668653;76800;5331485;29;1;685329;33733;8852045;602576;719062;13088469
42909;43909;19973;1800241;14220;14220;20;9;1817576;540708;4670550;19973;2358284;4661468
42102;42102;175351;1937308;63600;86280;39;7;1073050;256584;13229647;175351;1329634;12694338
41001;41001;1073740;230949848;0;780176;392;25;11137512;710905;99972036;1073740;11848417;78989481
41002;43229;164334;321242;0;0;38;8;3575576;364303;20219718;164334;3939879;19276825
43301;43301;1078;8000;6000;6000;5;0;115000;0;490000;1078;115000;416000
42102;42102;575;5175;0;13250;4;0;6000;0;60000;575;6000;43355
43110;43121;12397;49759;0;0;27;2;805720;84528;2067107;12397;890248;1889114
42909;43229;3764695;23666604;827078;827078;197;39;7915116;1781880;41973450;3764695;9696996;53303072
43299;43299;20795;33756;0;11474;2;0;43200;0;1568734;20795;43200;1529828
42909;43211;199522;3685204;0;56905;93;7;3386340;325656;13138235;199522;3711996;12361886
43907;43907;2154005;31881261;0;0;70;4;5119416;89472;23670361;2154005;5208888;21540028
43122;42101;77772;1661672;53400;288483;14;4;524244;156900;5664673;77772;681144;6779999
43909;42909;81656;1428298;0;0;9;1;299086;23556;8218167;81656;322642;8234829
43129;41001;528123;2466565;0;65296;25;9;1402212;395064;10382513;528123;1797276;10060571
41002;41002;359151;1220230;102433;102433;3;2;55200;67200;25101327;359151;122400;24348288
41002;42101;1879115;84940493;0;140400;83;4;1726858;60000;122605122;1879115;1786858;120975425
41001;41001;520857;338572;0;0;7;1;295908;14113;4349325;520857;310021;1776104
41001;43299;389029;2204500;0;279592;18;8;1104590;481020;21939380;389029;1585610;17103663
41002;41001;1950243;9986070;0;800470;19;10;1386079;419090;17131657;1950243;1805169;20756016
41001;41002;131774;1811570;0;2250;4;2;248700;51600;1837471;131774;300300;1903539
42909;42909;683041;10652679;14000;360560;86;11;2138712;738895;13276668;683041;2877607;12583906
43901;41001;723339;13525674;0;110000;293;7;9351650;450034;324442314;723339;9801684;325762476
42201;42201;479054;9535380;0;0;18;2;1748766;139332;15935205;479054;1888098;19962545
41001;41002;1999677;16550500;19200;273638;91;10;2812776;371566;29779736;1999677;3184342;29566810
41001;41001;589526;3877810;105650;2407754;37;7;2300520;366300;47078343;589526;2666820;48413967
41001;41002;982145;7202394;56400;56400;197;44;7530014;2822400;39884913;982145;10352414;40717492
41002;41002;335806;3626263;0;0;3;5;215355;264645;18137356;335806;480000;16562880
42909;43909;4220;38263;83400;83400;3;1;189600;26400;5150928;4220;216000;4961336
43909;43909;75099;848490;0;19200;6;2;409000;86738;6851861;75099;495738;6621761
42205;42205;48484;436359;90000;90000;7;1;265937;26301;1506379;48484;292238;1461188
43309;43309;47612;928380;25200;206525;9;2;501684;80568;8420220;47612;582252;8439295
43905;43905;10185;45136;30000;30000;8;2;268591;36671;1157692;10185;305262;1127481
43309;43309;45884;305255;18000;25000;7;1;284808;75000;3159669;45884;359808;3064067
43309;43309;290583;410726;14060;14060;3;1;223200;30000;4422376;290583;253200;1836503
41001;42909;92058;1113807;48000;48000;20;3;1068700;174700;6351780;92058;1243400;5667327
43211;43211;1491;1978;11300;11700;4;1;112728;48000;340104;1491;160728;319343
43309;43225;147542;1595579;0;33389;24;3;809266;131741;3054151;147542;941007;3123383
43907;43909;23100;2643380;0;36000;72;3;2516081;104142;4338523;23100;2620223;4280023
43309;43309;64663;581964;120000;120000;39;1;773160;16920;4014510;64663;790080;3974365
43225;43225;14117;731142;0;36760;28;6;1387162;304499;8555764;14117;1691661;8458305
43307;41002;101456;95904;33697;33697;10;2;382468;84000;21964711;101456;466468;17064861
43229;43227;56739;950277;0;29827;12;1;596710;43200;2871508;56739;639910;2757402
41001;41001;365997;11890810;0;142560;18;11;1772540;817560;163356000;365997;2590100;166233000
43907;43907;42321;380892;268000;268000;4;8;67200;139200;3526778;42321;206400;3089807
42203;42909;28372;76387;0;0;50;2;1444128;60120;5905392;28372;1504248;5859423
43901;43909;146199;1249111;0;0;3;1;150024;31800;569958;146199;181824;454538
43902;43305;17244;253722;0;0;5;1;193338;20088;322205;17244;213426;430748
43229;42201;70948;5858770;0;0;11;4;332153;147192;6278309;70948;479345;5578756
41001;41001;96654;2422859;0;0;3;0;86218;0;294942;96654;86218;2384522
41002;42909;226003;1084580;57600;57600;16;3;501132;105408;9924664;226003;606540;9155533
41001;41001;279619;493693;20000;59872;12;8;715567;239072;11004730;279619;954639;11772934
41002;41002;587705;4382651;1731968;1749268;23;6;1066890;260228;36689407;587705;1327118;36892064
42909;43299;254812;770469;240000;240000;31;5;1644811;313297;21076110;254812;1958108;18895761
42909;42909;35863;203058;0;0;8;3;310400;108800;2406176;35863;419200;1389057
42909;42909;25188;189095;36000;36000;27;13;1204743;327720;80329220;25188;1532463;73019261
41002;41002;56562;306529;42030;42030;747;13;19348748;557481;206135104;56562;19906229;200649861
